INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_IN_OUT,PRECINCT,JURISDICTION_CODE,LOC_CLASS,LOCATION_DESC,MURDER_FLAG,PERP_AGE,PERP_SEX,PERP_RACE,VIC_AGE,VIC_SEX,VIC_RACE,X_COORD,Y_COORD,LAT,LONG
283390056,3/7/24,17:15:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,18-24,M,BLACK,18-24,M,BLACK,1008245,183796,,
283404608,3/7/24,16:14:00,BRONX,OUTSIDE,40,0,STREET,(null),Y,<18,M,BLACK,<18,M,BLACK,1005028,234516,,
281250471,1/27/24,18:36:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1015391,181282,40.6642,-73.88775
283951187,3/18/24,22:00:00,QUEENS,OUTSIDE,103,0,DWELLING,PVT HOUSE,N,(null),(null),(null),25-44,M,BLACK,1042419,193657,40.698032,-73.790219
279799858,1/1/24,14:57:00,BRONX,OUTSIDE,52,0,STREET,(null),N,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1014086,254305,40.86463266264929,-73.89213149
282041195,2/10/24,18:55:00,BROOKLYN,OUTSIDE,61,0,STREET,(null),N,45-64,M,BLACK,25-44,M,BLACK,989992,155381,40.59316,-73.979324
283815379,3/15/24,3:00:00,MANHATTAN,OUTSIDE,25,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1001643,232461,40.804711,-73.937173
282117921,2/12/24,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK HISPANIC,65+,M,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.9147428
282780443,2/25/24,20:50:00,BRONX,OUTSIDE,47,0,COMMERCIAL,SMALL MERCHANT,N,(null),(null),(null),25-44,M,BLACK,1026242,262090,40.885953,-73.848134
283147870,3/3/24,22:37:00,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1001767,241659,40.829956,-73.936699
279863277,1/2/24,21:00:00,BROOKLYN,OUTSIDE,69,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,25-44,M,BLACK,<18,M,BLACK,1016320,170575,40.63481,-73.884452
280879491,1/21/24,6:08:00,BRONX,INSIDE,47,0,STREET,(null),Y,(null),(null),(null),25-44,M,BLACK,1023421,264176,40.891691,-73.858323
284197306,3/22/24,19:20:00,BRONX,OUTSIDE,40,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1005368,232661,40.805251,-73.923716
282767548,2/24/24,1:05:00,QUEENS,OUTSIDE,105,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1059234,176993,40.65216407,-73.72976727
280507340,1/14/24,15:30:00,BRONX,OUTSIDE,41,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1014854,240518,40.826789,-73.889415
283128966,3/2/24,3:25:00,QUEENS,INSIDE,114,0,(null),BAR/NIGHT CLUB,N,(null),(null),(null),25-44,M,BLACK,1006506,214760,40.756115,-73.919666
281919772,2/8/24,15:48:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1008773,242041,40.83098797459443,-73.91138485
280107187,1/6/24,14:02:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,999009,171975,40.638698,-73.946819
